timestamp,open,high,low,close,volume
2017-08-30,920.0500,930.8190,919.6500,929.5700,1282093
2017-08-29,905.1000,923.3300,905.0000,921.2900,1180160
2017-08-28,916.0000,919.2450,911.8700,913.8100,1072467
2017-08-25,923.4900,925.5550,915.5000,915.8900,1040693
2017-08-24,928.6600,930.8400,915.5000,921.2800,1218875
2017-08-23,921.9300,929.9300,919.3600,927.0000,1077809
2017-08-22,912.7200,925.8600,911.4750,924.6900,1145571
2017-08-21,910.0000,913.0000,903.4000,906.6600,932903
2017-08-18,910.3100,915.2750,907.1540,910.6700,1333572
2017-08-17,925.7800,926.8600,910.9800,910.9800,1218963
2017-08-16,925.2900,932.7000,923.4450,926.9600,988604
2017-08-15,924.2300,926.5500,919.8200,922.2200,873070
2017-08-14,922.5300,924.6680,918.1900,922.6700,1047828
2017-08-11,907.9700,917.7800,905.5800,914.3900,1190458
2017-08-10,917.5500,919.2600,906.1300,907.2400,1722296
2017-08-09,920.6100,925.9800,917.2500,922.9000,1169431
2017-08-08,927.0900,935.8140,925.6100,926.7900,1039394
2017-08-07,929.0600,931.7000,926.5000,929.3600,1012296
2017-08-04,926.7500,930.3070,923.0300,927.9600,1019159
2017-08-03,930.3400,932.2400,922.2400,923.6500,1179126
2017-08-02,928.6100,932.6000,916.6800,930.3900,1816343
2017-08-01,932.3800,937.4470,929.2600,930.8300,1211553
2017-07-31,941.8900,943.5900,926.0400,930.5000,1952716
2017-07-28,929.4000,943.8300,927.5000,941.5300,1775076
2017-07-27,951.7800,951.7800,920.0000,934.0900,3095263
2017-07-26,954.6800,955.0000,942.2790,947.8000,2056013
2017-07-25,953.8100,959.7000,945.4000,950.7000,4626086
2017-07-24,972.2200,986.2000,970.7700,980.3400,2634669
2017-07-21,962.2500,973.2300,960.1500,972.9200,1665103
2017-07-20,975.0000,975.9000,961.5100,968.1500,1577103